Номенклатура,Артикул,Группа,Стоимость,Прибыль,Поставщик,Предмет,остатки через 10 дней,Цена остатка,Рентабельность,Траты на рекламу за вчера,ДРР,Базовая,БАЗА Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,-5 Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Новая рентабельность,АКЦИЯ выгоднее,Продажи,Продажи за вчера,Продажи за 3 дня,Тренд,Ср. 7 дней,Прибыль 2021,Дней в продаже,Цена остатка на стоках,Склад WB,FBS,Ожидание,Закуп,Озон МС,Мойсклад,Оборачиваемость,Заканчивается через,Оборачиваемость склада,Обор посл день (весь),Обор 3 дня (весь),Обор 3 дня,Обор посл день ВБ,Коледино,Дней на сайте,Себес,Комиссия,Логистика ВБ,Литраж,Логистика литраж,Логистика мпстатс,Прибыль с партии,Прибыль с партии нов,Прибыль в мес,Новая прибыль,Изменение цены на...,причина,Новая цена,Новая базовая,Прибыль новая,Новая комиссия,Упаковка,Админ расход,Хранение в мес,Налог и реклама,% брака,% брака МС,% выкупа,Цена товара + ожидание,Остаток МС,Остаток ВБ,Траты на рекламу за вчера,ДРР
161727132,penal_sinV,Актив/Осень / Сезонные,309,63,"ООО ""ОПТСЕРВИС""",Пеналы,16072,25836,21%,0,0%,618,235,-75,6%,15%,,-310,,21%,21%,0%,6.5,3,2,0,,0,0,25836,51,0,200,,0,465,8,,79,172,221,22,17,19,75,50,46,0,2,64,154,32735,32735,12371,12371,,,309,618,63,46,21,27,8,29,0,0,95,35850,,,,0.00%
164174419,shtangelcirkylV,Неликвид,1215,51,"ООО ""ОПТСЕРВИС""",Штангенциркули,210471,222205,4%,17,1%,2430,1166,-50,-17%,21%,,-1216,,4%,4%,0%,0.5,1,1,2,,0,0,222205,20,0,0,,0,247,43,,556,267,267,20,20,20,75,832,231,0,0,65,13,13674,13674,722,722,,,1215,2430,51,231,24,0,8,0,4,4,94,222205,,,,0.00%
163176826,kisti_risovaniyaV,Актив/Осень / Сезонные,414,73,"ООО ""ОПТСЕРВИС""",Кисти художественные,6494,14977,18%,0,0%,828,325,-90,4%,14%,,-415,,18%,18%,0%,2.5,3,1,1,,0,0,14977,74,0,200,,0,60,29,,53,45,101,56,25,43,82,112,62,0,1,64,77,9741,9741,5517,5517,,,414,828,73,62,21,36,8,39,1,1,96,37331,6706,8271,0,0.00%
166466320,setka_moskitV,Неликвид,400,30,"ООО ""ОПТСЕРВИС""",Москитные сетки,53170,61382,8%,0,,800,366,-35,-17%,25%,344,-57,0,25%,8%,-25%,1.3,0,1,0,,0,0,61382,3,100,0,,0,293,2,,223,999,444,5,999,0,30,207,68,0,3,64,25,8976,8976,1201,1201,,,400,800,30,68,21,0,8,0,1,1,95,61382,60759,622,0,0.00%
165852987,marker_plitkiV,Актив/Новинки,208,25,"ООО ""ОПТСЕРВИС""",Маркеры,9182,9932,12%,35,17%,416,174,-35,1%,11%,,-209,,12%,12%,0%,1.1,1,1,1,,0,0,9932,92,0,0,,0,361,81,,394,453,340,69,92,23,40,22,31,0,0,63,25,11408,11408,861,861,,,208,416,25,31,21,18,8,19,0,0,97,9932,7915,2017,35,14.76%
164166855,miniyrovenV,Неликвид,625,99,"ООО ""ОПТСЕРВИС""",Уровни цифровые,22995,47479,16%,70,11%,1250,719,93,7%,9%,,-626,,16%,16%,0%,2.6,1,1,0,,0,0,47479,30,0,0,,0,123,11,,58,153,230,45,30,17,27,310,119,0,0,66,65,15223,15223,7850,7850,,,625,1250,99,119,21,0,8,0,2,2,92,47479,,,,0.00%
166499863,penal_crackerV,Актив/Осень / Сезонные,334,29,"ООО ""ОПТСЕРВИС""",Пеналы,63344,66534,9%,0,0%,668,296,-39,1%,8%,,-335,,9%,9%,0%,1.1,4,3,4,,0,0,66534,191,0,0,,0,466,182,,620,164,246,72,48,78,30,101,50,0,1,64,17,18893,18893,906,906,,,334,668,29,50,21,29,8,31,1,1,95,66534,,,,0.00%
161690828,penal_fiolV,Актив/Осень / Сезонные,377,30,"ООО ""ОПТСЕРВИС""",Пеналы,23859,27025,8%,210,,754,330,-48,0%,8%,,-378,,8%,8%,0%,0.8,0,1,0,,0,0,27025,210,0,0,,0,0,256,,253,999,315,315,999,86,82,129,57,0,2,64,18,6310,6310,739,739,,,377,754,30,57,21,32,8,35,1,1,95,27025,0,27025,210,67.93%
163903948,penal_setchatV,Актив/Осень / Сезонные,241,33,"ООО ""ОПТСЕРВИС""",Пеналы,4369,6310,14%,0,0%,482,192,-50,0%,14%,,-242,,14%,14%,0%,2.0,1,1,1,,0,0,6310,195,0,0,,0,0,98,,97,195,195,195,195,91,40,32,36,0,1,64,55,6379,6379,1963,1963,,,241,482,33,36,24,21,8,22,0,0,95,6310,0,6310,0,0.00%
164286271,derzh_polotenecV,Актив/Новинки,318,40,"ООО ""ОПТСЕРВИС""",Держатели кухонные,12453,13922,13%,23,,636,249,-70,-1%,14%,240,-79,0,11%,13%,-11%,0.8,0,0,0,,0,0,13922,55,0,0,,0,164,71,,281,999,657,165,999,35,30,64,60,0,,65,19,8813,8813,930,930,,,318,636,40,60,24,27,8,30,0,0,95,13922,,,,0.00%
